"club_id","name","coach_power","balance","fame_1","fame_2","fame_3","fame_4","fame_5","league_id","farm_club_id"
"auckland_aces","Auckland Aces","3","1000000","250","0","0","0","0","master_league","farm_club_0"
"brisbane_vipers","Brisbane Vipers","1","1000000","0","0","0","0","500","master_league","farm_club_1"
"canberra_masters","Canberra Masters","3","500000","250","250","250","1000","0","master_league","farm_club_2"
"dandenong_pianists","Dandenong Pianists","2","5000000","0","0","0","0","0","master_league","farm_club_3"
"melbourne_rockets","Melbourne Rockets","3","1120000","0","0","0","250","1000","master_league","farm_club_4"
"sydney_hearts","Sydney Hearts","3","100000","0","250","0","0","250","master_league","farm_club_5"
"sydney_queens","Sydney Queens","2","1700000","500","0","250","0","0","master_league","farm_club_6"
"tasmanian_devils","Tasmanian Devils","2","2500000","0","0","0","0","0","master_league","farm_club_7"
"adelaide_falcons","Adelaide Falcons","2","1100000","0","0","0","0","0","master_league","farm_club_8"
"saigon_suns","Saigon Suns","1","3500000","0","0","0","0","0","master_league","farm_club_9"
"darwin_ducks","Darwin Ducks","3","3500000","0","0","0","0","0","master_league","farm_club_10"
"jakarta_jaguars","Jakarta Jaguars","1","4500000","0","0","0","0","0","master_league","farm_club_11"
"perth_punks","Perth Punks","3","550000","0","1000","1000","250","0","master_league","farm_club_12"
"hong_kong_netrunners","Hong Kong Netrunners","1","2750000","0","0","500","0","0","master_league","farm_club_13"
"melbourne_tech","Melbourne Tech","2","1175000","1000","500","0","500","0","master_league","farm_club_14"
"western_furies","Western Furies","1","3250000","0","0","0","0","250","master_league","farm_club_15"
"selangor_royals","Selangor Royals","3","5000000","0","0","0","0","0","master_league","farm_club_16"
"wellington_wardens","Wellington Wardens","3","5000000","0","0","0","0","0","master_league","farm_club_17"
"farm_club_0","Farm Club 0","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_1","Farm Club 1","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_2","Farm Club 2","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_3","Farm Club 3","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_4","Farm Club 4","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_5","Farm Club 5","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_6","Farm Club 6","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_7","Farm Club 7","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_8","Farm Club 8","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_9","Farm Club 9","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_10","Farm Club 10","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_11","Farm Club 11","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_12","Farm Club 12","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_13","Farm Club 13","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_14","Farm Club 14","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_15","Farm Club 15","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_16","Farm Club 16","0","0","0","0","0","0","0","apprentice_league",""
"farm_club_17","Farm Club 17","0","0","0","0","0","0","0","apprentice_league",""
